DATAFLOW,LAST UPDATE,freq,unit,quantile,reason,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,ES,2015,0.6,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,ES,2016,0.5,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,ES,2017,0.1,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,ES,2018,0.2,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,ES,2019,0.2,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,ES,2020,0.4,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,ES,2021,1.1,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,ES,2022,1.2,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,EU27_2007,2008,3.0,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,EU27_2007,2009,3.0,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,EU27_2007,2010,3.1,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,EU27_2007,2011,3.3,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,EU27_2007,2012,3.5,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,EU27_2007,2013,3.7,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,EU27_2007,2014,3.7,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,EU27_2007,2015,3.3,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,EU27_2007,2016,2.6,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,EU27_2007,2017,1.7,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,EU27_2007,2018,2.0,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,EU27_2007,2019,1.9,e
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,EU27_2020,2010,3.5,e
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,EU27_2020,2011,3.7,e
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,EU27_2020,2012,3.8,e
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,EU27_2020,2013,4.0,e
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,EU27_2020,2014,3.9,e
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,EU27_2020,2015,3.3,e
