DATAFLOW,LAST UPDATE,freq,levels,deg_urb,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,NONE_LGHT,TOTAL,T,TOTAL,PC,IT,2014,65.1,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,NONE_LGHT,TOTAL,T,TOTAL,PC,LT,2014,42.6,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,NONE_LGHT,TOTAL,T,TOTAL,PC,LU,2014,71.2,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,NONE_LGHT,TOTAL,T,TOTAL,PC,LV,2014,50.9,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,NONE_LGHT,TOTAL,T,TOTAL,PC,MT,2014,57.7,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,NONE_LGHT,TOTAL,T,TOTAL,PC,NO,2014,46.6,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,NONE_LGHT,TOTAL,T,TOTAL,PC,PL,2014,48.8,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,NONE_LGHT,TOTAL,T,TOTAL,PC,PT,2014,52.2,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,NONE_LGHT,TOTAL,T,TOTAL,PC,RO,2014,67.2,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,NONE_LGHT,TOTAL,T,TOTAL,PC,SE,2014,44.9,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,NONE_LGHT,TOTAL,T,TOTAL,PC,SI,2014,43.1,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,NONE_LGHT,TOTAL,T,TOTAL,PC,SK,2014,50.6,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,NONE_LGHT,TOTAL,T,TOTAL,PC,TR,2014,38.5,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,NONE_LGHT,TOTAL,T,TOTAL,PC,UK,2014,49.9,
