DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,FR,2011,16.7,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,FR,2012,17.1,b
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,FR,2013,17.6,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,FR,2014,18.0,b
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,FR,2015,18.4,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,FR,2016,18.9,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,FR,2017,19.3,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,FR,2018,19.7,p
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,FR,2019,20.0,p
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,FR,2020,20.4,p
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,FR,2021,20.7,p
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,FR,2022,21.0,p
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,FX,2011,16.9,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,FX,2012,17.3,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,FX,2013,17.7,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,GE,2011,13.8,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,GE,2012,13.7,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,GE,2014,14.0,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,GE,2015,13.9,
