DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EA18,2020,339615386,p
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EA18,2021,339765354,p
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EA19,2013,336044966,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EA19,2014,337764352,b
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EA19,2015,338562121,b
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EA19,2016,339787987,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EA19,2017,340541142,b
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EA19,2018,341253004,p
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EA19,2019,341524067,bep
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EA19,2020,342409476,p
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EA19,2021,342634402,bp
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EA19,2022,342805884,bp
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EA20,2022,346668189,bp
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EE,2013,1320174,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EE,2014,1315819,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EE,2015,1314870,b
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EE,2016,1315944,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EE,2017,1315635,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EE,2018,1319133,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EE,2019,1324820,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EE,2020,1328976,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EE,2021,1330068,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EE,2022,1331796,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EEA30_2007,2013,506310838,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EEA30_2007,2014,508459052,b
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EEA30_2007,2015,509827848,b
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EEA30_2007,2016,511572077,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EEA30_2007,2017,512858835,b
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EEA30_2007,2018,514058823,p
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EEA30_2007,2019,514740891,bep
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EEA30_2007,2020,516057754,ep
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EEA31,2013,510572978,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EEA31,2014,512705861,b
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EEA31,2015,514053164,b
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EEA31,2016,515762746,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EEA31,2017,517013048,b
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EEA31,2018,518164316,p
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EEA31,2019,518817137,bep
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EEA31,2020,520115919,ep
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EFTA,2013,13449030,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EFTA,2014,13610401,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EFTA,2015,13770625,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EFTA,2016,13907998,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EFTA,2017,14054026,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EFTA,2018,14166313,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EFTA,2019,14268108,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EFTA,2020,14376494,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EFTA,2021,14469516,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EFTA,2022,14579617,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EL,2013,11003615,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EL,2014,10926807,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EL,2015,10858018,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EL,2016,10783748,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EL,2017,10768193,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EL,2018,10741165,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EL,2019,10724599,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EL,2020,10718565,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EL,2021,10678632,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EL,2022,10459782,b
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,ES,2013,46727890,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,ES,2014,46512199,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,ES,2015,46449565,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,ES,2016,46440099,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,ES,2017,46528024,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,ES,2018,46658447,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,ES,2019,46937060,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,ES,2020,47332614,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,ES,2021,47398695,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,ES,2022,47432893,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EU27_2007,2013,500900868,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EU27_2007,2014,502988282,b
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EU27_2007,2015,504294889,b
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EU27_2007,2016,505991205,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EU27_2007,2017,507224359,b
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EU27_2007,2018,508376640,p
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EU27_2007,2019,509017310,bep
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EU27_2007,2020,510287293,ep
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EU27_2020,2013,441257711,
