DATAFLOW,LAST UPDATE,freq,unit,wat_proc,rbd,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_WATRES_RB(1.0),26/07/23 23:00:00,A,MIO_M3,PRECIP,DE_WES_RBD,2020,34290.00,
ESTAT:ENV_WATRES_RB(1.0),26/07/23 23:00:00,A,MIO_M3,PRECIP,EE,2017,32679.60,
ESTAT:ENV_WATRES_RB(1.0),26/07/23 23:00:00,A,MIO_M3,PRECIP,EE,2018,23187.60,
ESTAT:ENV_WATRES_RB(1.0),26/07/23 23:00:00,A,MIO_M3,PRECIP,EE,2019,30419.60,
ESTAT:ENV_WATRES_RB(1.0),26/07/23 23:00:00,A,MIO_M3,PRECIP,EE,2020,29967.60,
ESTAT:ENV_WATRES_RB(1.0),26/07/23 23:00:00,A,MIO_M3,PRECIP,EE,2021,27752.80,
ESTAT:ENV_WATRES_RB(1.0),26/07/23 23:00:00,A,MIO_M3,PRECIP,EE_E,2017,17726.80,
ESTAT:ENV_WATRES_RB(1.0),26/07/23 23:00:00,A,MIO_M3,PRECIP,EE_E,2018,11522.40,
ESTAT:ENV_WATRES_RB(1.0),26/07/23 23:00:00,A,MIO_M3,PRECIP,EE_E,2019,15650.20,
ESTAT:ENV_WATRES_RB(1.0),26/07/23 23:00:00,A,MIO_M3,PRECIP,EE_E,2020,16561.90,
ESTAT:ENV_WATRES_RB(1.0),26/07/23 23:00:00,A,MIO_M3,PRECIP,EE_E,2021,15548.90,
ESTAT:ENV_WATRES_RB(1.0),26/07/23 23:00:00,A,MIO_M3,PRECIP,EE_KOI,2017,1315.30,
ESTAT:ENV_WATRES_RB(1.0),26/07/23 23:00:00,A,MIO_M3,PRECIP,EE_KOI,2018,971.80,
ESTAT:ENV_WATRES_RB(1.0),26/07/23 23:00:00,A,MIO_M3,PRECIP,EE_KOI,2019,1330.70,
ESTAT:ENV_WATRES_RB(1.0),26/07/23 23:00:00,A,MIO_M3,PRECIP,EE_KOI,2020,1122.20,
ESTAT:ENV_WATRES_RB(1.0),26/07/23 23:00:00,A,MIO_M3,PRECIP,EE_KOI,2021,1115.00,
ESTAT:ENV_WATRES_RB(1.0),26/07/23 23:00:00,A,MIO_M3,PRECIP,EE_W,2017,13637.60,
ESTAT:ENV_WATRES_RB(1.0),26/07/23 23:00:00,A,MIO_M3,PRECIP,EE_W,2018,10693.30,
ESTAT:ENV_WATRES_RB(1.0),26/07/23 23:00:00,A,MIO_M3,PRECIP,EE_W,2019,13438.90,
ESTAT:ENV_WATRES_RB(1.0),26/07/23 23:00:00,A,MIO_M3,PRECIP,EE_W,2020,12282.80,
ESTAT:ENV_WATRES_RB(1.0),26/07/23 23:00:00,A,MIO_M3,PRECIP,EE_W,2021,11090.70,
ESTAT:ENV_WATRES_RB(1.0),26/07/23 23:00:00,A,MIO_M3,PRECIP,ES,2017,359446.24,
ESTAT:ENV_WATRES_RB(1.0),26/07/23 23:00:00,A,MIO_M3,PRECIP,ES,2018,275494.87,
ESTAT:ENV_WATRES_RB(1.0),26/07/23 23:00:00,A,MIO_M3,PRECIP,ES,2019,345324.43,
ESTAT:ENV_WATRES_RB(1.0),26/07/23 23:00:00,A,MIO_M3,PRECIP,ES,2020,327742.76,
ESTAT:ENV_WATRES_RB(1.0),26/07/23 23:00:00,A,MIO_M3,PRECIP,ES,2021,251994.26,
ESTAT:ENV_WATRES_RB(1.0),26/07/23 23:00:00,A,MIO_M3,PRECIP,ES_ADL,2017,9703.57,
ESTAT:ENV_WATRES_RB(1.0),26/07/23 23:00:00,A,MIO_M3,PRECIP,ES_ADL,2018,7759.57,
