,Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1745,2006-0387-USA,2006,387,,Natural,Meteorological,Extreme temperature ,Heat wave,,,United States of America (the),USA,Northern America,Americas,"Modesto city (Stanislaus district, California province)",,,,,,,,50.0,°C,,,,,2006,7.0,14.0,2006,8.0,15.0,164.0,,,,,,,,,,,68.8837587123464,2,,28914,Stanislaus (Adm2). 
1746,2006-0427-USA,2006,427,,Natural,Meteorological,Extreme temperature ,Heat wave,,,United States of America (the),USA,Northern America,Americas,New York province,,,,,,Yes,,44.0,°C,,,,,2006,7.0,30.0,2006,8.0,6.0,24.0,,,,,,,,,,,68.8837587123464,1,3246,,New York (Adm1). 
1888,2007-0235-AUT,2007,235,HT-2007-000106,Natural,Meteorological,Extreme temperature ,Heat wave,,,Austria,AUT,Western Europe,Europe,"Burgenland, Karnten, Niederosterreich, Steiermark, Wien provinces",,,,,,,,39.0,°C,,,,,2007,7.0,,2007,7.0,,5.0,,,,,,,,,,,70.848792703253,1,478;479;480;483;486,,"Burgenland, Karnten, Niederosterreich, Steiermark, Wien (Adm1). "
1980,2007-0207-IND,2007,207,,Natural,Meteorological,Extreme temperature ,Heat wave,,,India,IND,Southern Asia,Asia,"Uttar Pradesh, Rajasthan, Punjab, Delhi provinces",,,,,,,,45.0,°C,,,,,2007,4.0,,2007,6.0,,72.0,,,,,,,,,,,70.848792703253,1,1489;1505;1506;70081,,"Delhi, Punjab, Rajasthan, Uttar Pradesh (Adm1). "
2232,2009-0175-IND,2009,175,,Natural,Meteorological,Extreme temperature ,Heat wave,,,India,IND,Southern Asia,Asia,"Orissa, West Bengal, Bihar, Uttar Pradesh, Jharkhand, Andhra Pradesh provinces",,,,,,,,48.0,°C,,,,,2009,4.0,14.0,2009,6.0,26.0,120.0,25.0,,,25.0,,,,,,,73.3071767219387,1,1485;1504;1511;70073;70078;70081,,"Andhra Pradesh, Bihar, Jharkhand, Orissa, Uttar Pradesh, West Bengal (Adm1). "
2285,2007-0235-ROU,2007,235,HT-2007-000106,Natural,Meteorological,Extreme temperature ,Heat wave,,,Romania,ROU,Eastern Europe,Europe,"Caras-severin, Dolj, Olt, Teleorman, Giurgiu, Bucuresti, Iasi provinces",,Drought,,,,,,45.0,°C,,,,,2007,6.0,,2007,7.0,,30.0,,,,,,,,,,,70.848792703253,1,2455;2458;2463;2465;2470;2475;2481,,"Bucuresti, Caras-severin, Dolj, Giurgiu, Iasi, Olt, Teleorman (Adm1). "
2286,2007-0235-ITA,2007,235,HT-2007-000106,Natural,Meteorological,Extreme temperature ,Heat wave,,,Italy,ITA,Southern Europe,Europe,"Calabria, Sicilia, Trentino-alto Adige provinces",,Wildfire,,,,,,45.0,°C,,,,,2007,6.0,,2007,6.0,,6.0,,,,,,,,,,,70.848792703253,1,1618;1630;1632,,"Calabria, Sicilia, Trentino-alto Adige (Adm1). "
2316,2007-0358-JPN,2007,358,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Japan,JPN,Eastern Asia,Asia,"Aiti, Ehime, Gifu, Gunma, Hirosima, Hukui, Hukuoka, Hukusima, Hyoogo, Ibaraki, Isikawa, Kagawa, Kagosima, Kanagawa, Kooti, Kumamoto, Kyooto, Mie, Miyagi, Miyazaki, Nagano, Nagasaki, Nara, Niigata, Okayama, Okinawa, Ooita, Oosaka, Saga, Saitama, Siga, Simane, Sizuoka, Tiba, Tokusima, Tookyoo, Totigi, Tottori, Toyama, Wakayama, Yamagata, Yamaguti, Yamanasi provinces",,,,,,,,41.0,°C,,,,,2007,8.0,,2007,8.0,17.0,62.0,3000.0,,,3000.0,,,,,,,70.848792703253,1,1651;1654;1655;1656;1657;1658;1659;1660;1662;1663;1664;1666;1667;1668;1669;1670;1671;1672;1673;1674;1675;1676;1677;1678;1679;1680;1681;1682;1683;1684;1685;1686;1687;1688;1689;1690;1691;1692;1693;1694;1695;1696;1697,,"Aiti, Ehime, Gifu, Gunma, Hirosima, Hukui, Hukuoka, Hukusima, Hyoogo, Ibaraki, Isikawa, Kagawa, Kagosima, Kanagawa, Kooti, Kumamoto, Kyooto, Mie, Miyagi, Miyazaki, Nagano, Nagasaki, Nara, Niigata, Okayama, Okinawa, Ooita, Oosaka, Saga, Saitama, Siga, Simane, Sizuoka, Tiba, Tokusima, Tookyoo, Totigi, Tottori, Toyama, Wakayama, Yamagata, Yamaguti, Yamanasi (Adm1). "
2377,2007-0235-SVK,2007,235,HT-2007-000106,Natural,Meteorological,Extreme temperature ,Heat wave,,,Slovakia,SVK,Eastern Europe,Europe,"Banska Bystrica, Bratislava, Kosice, Nitra, Presov, Trencin, Trnava, Zilna provinces",,,,,,,,40.0,°C,,,,,2007,7.0,15.0,2007,7.0,22.0,1.0,89.0,,,89.0,,,,,,,70.848792703253,1,2667;2668;2669;2670;2671;2672;2673;2674,,"Banska Bystrica, Bratislava, Kosice, Nitra, Presov, Trencin, Trnava, Zilna (Adm1). "
2499,2008-0662-JPN,2008,662,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Japan,JPN,Eastern Asia,Asia,All country,,,,,,,,,°C,,,,,2008,7.0,,2008,7.0,,47.0,,,,,,,,,,,73.5687455355046,1,1651;1652;1653;1654;1655;1656;1657;1658;1659;1660;1661;1662;1663;1664;1665;1666;1667;1668;1669;1670;1671;1672;1673;1674;1675;1676;1677;1678;1679;1680;1681;1682;1683;1684;1685;1686;1687;1688;1689;1690;1691;1692;1693;1694;1695;1696;1697,,"Aiti, Akita, Aomori, Ehime, Gifu, Gunma, Hirosima, Hokkaidoo, Hukui, Hukuoka, Hukusima, Hyoogo, Ibaraki, Isikawa, Iwate, Kagawa, Kagosima, Kanagawa, Kooti, Kumamoto, Kyooto, Mie, Miyagi, Miyazaki, Nagano, Nagasaki, Nara, Niigata, Okayama, Okinawa, Ooita, Oosaka, Saga, Saitama, Siga, Simane, Sizuoka, Tiba, Tokusima, Tookyoo, Totigi, Tottori, Toyama, Wakayama, Yamagata, Yamaguti, Yamanasi (Adm1). "
2736,2009-0616-AUS,2009,616,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Australia,AUS,Australia and New Zealand,Oceania,"Victoria, New South wales (South), Tasmania (Northern) provinces",,,,,,,,49.0,°C,,,,,2009,1.0,27.0,2009,2.0,8.0,347.0,2000.0,,,2000.0,,,,,,,73.3071767219387,1,470;475;476,,"New South Wales, Tasmania, Victoria (Adm1). "
3018,2010-0206-IND,2010,206,,Natural,Meteorological,Extreme temperature ,Heat wave,,,India,IND,Southern Asia,Asia,"Delhi, Haryana, Madhya Pradesh, Orissa, Rajasthan, Uttar Pradesh provinces",,,,,,,,49.0,°C,,,,,2010,3.0,,2010,5.0,,250.0,,,,,,,,,,,74.5094440781961,1,1489;1492;1504;1506;70079;70081,,"Delhi, Haryana, Madhya Pradesh, Orissa, Rajasthan, Uttar Pradesh (Adm1). "
3098,2011-0329-ITA,2011,329,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Italy,ITA,Southern Europe,Europe,"Milano district (Lombardia province), Torino district (Piemonte province), Trieste district (Friuli-venezia Giulia province), Verona district (Veneto province), Messina district (Sicilia province), Roma district (Lazio province), Napoli district (Campania province)",,,,,,,,47.0,°C,,,,,2011,8.0,17.0,2011,8.0,24.0,10.0,,,,,,,,,,,76.8615953778198,2,,18332;18345;18350;18363;18378;18394;18419,"Messina, Milano, Napoli, Roma, Torino, Trieste, Verona (Adm2). "
