,Dis No,Year,Seq,Country,ISO,Region,Location,Associated Dis,Dis Mag Value,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,Total Affected,Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations,Start Date,End Date,Duration,poverty,housing_deprive,forest,elder,population,gdp,unemployment,child_population,disabled,Start_Date,End_Date,Days_over_30,Max_temp,month_length
37,2019-0366-BEL,2019,366,Belgium,BEL,Western Europe,,,41.0,2019,7.0,19.0,2019,7.0,27.0,400.0,,,,,87.3580067738847,,,,,2019-07-19,2019-07-27,8.0,18.7,2.3,24.3,19.5,11617623.0,36860.0,2.3,1931651.0,1553.4,2019-07-01,2019-07-31,4.0,37.8,0.0
38,2019-0650-BEL,2019,650,Belgium,BEL,Western Europe,,,35.0,2019,8.0,23.0,2019,8.0,29.0,188.0,,,,,87.3580067738847,,,,,2019-08-23,2019-08-29,6.0,18.7,2.3,24.3,19.5,11617623.0,36860.0,2.3,1931651.0,1553.4,2019-08-01,2019-08-31,2.0,31.7,0.0
39,2020-0530-BEL,2020,530,Belgium,BEL,Western Europe,,,,2020,8.0,5.0,2020,8.0,8.0,1687.0,,,,,88.4356408059336,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1). ",2020-08-05,2020-08-08,3.0,18.7,2.3,24.3,19.5,11617623.0,36860.0,2.3,1931651.0,1553.4,2020-08-01,2020-08-31,9.0,34.7,0.0
40,2019-0366-FRA,2019,366,France,FRA,Western Europe,Toute la France métropolitaine (excepté l'ouest de la Bretagne et la Corse),,44.0,2019,7.0,21.0,2019,7.0,27.0,868.0,,,,,87.3580067738847,,,,,2019-07-21,2019-07-27,6.0,21.0,3.8,32.8,21.0,67871925.0,33180.0,2.0,11877137.0,6805.4,2019-07-01,2019-07-31,6.0,40.0,0.0
42,2019-0366-NLD,2019,366,Netherlands (the),NLD,Western Europe,,,40.0,2019,7.0,22.0,2019,7.0,27.0,400.0,,,,,87.3580067738847,,,,,2019-07-22,2019-07-27,5.0,16.5,1.5,10.9,20.0,17590672.0,43800.0,0.7,2712461.0,2395.1,2019-07-01,2019-07-31,3.0,35.3,0.0
43,2020-0530-FRA,2020,530,France,FRA,Western Europe,,,,2020,7.0,30.0,2020,8.0,16.0,1924.0,,,,,88.4356408059336,1,1248;1249;1250;1251;1252;1253;1254;1255;1256;1257;1258;1259;1260;1262;1263;1264;1265;1266;1267;1268;1269;1270,,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Comte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Midi-Pyrenees, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Cote-d'Azur, Rhone-Alpes (Adm1). ",2020-07-30,2020-08-16,17.0,21.0,3.8,32.8,21.0,67871925.0,33180.0,2.0,11877137.0,6805.4,2020-07-01,2020-07-31,1.0,31.5,1.0
45,2020-0530-NLD,2020,530,Netherlands (the),NLD,Western Europe,,,,2020,8.0,5.0,2020,8.0,16.0,400.0,,,,,88.4356408059336,1,2158;2159;2160;2161;2162;2163;2164;2165;2166;2167;2168;2169,,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland (Adm1). ",2020-08-05,2020-08-16,11.0,16.5,1.5,10.9,20.0,17590672.0,43800.0,0.7,2712461.0,2395.1,2020-08-01,2020-08-31,6.0,31.4,0.0
46,2022-0465-DEU,2022,465,Germany,DEU,Western Europe,,,40.0,2022,5.0,30.0,2022,9.0,4.0,8173.0,,,,,100.0,,,,,2022-05-30,2022-09-04,97.0,20.9,1.2,32.4,22.1,83237124.0,36010.0,1.0,11606935.0,14783.8,2022-05-01,2022-05-31,0.0,28.8,4.0
47,2022-0465-ESP,2022,465,Spain,ESP,Southern Europe,,,43.0,2022,5.0,30.0,2022,9.0,4.0,11324.0,,,,,100.0,,,,,2022-05-30,2022-09-04,97.0,26.0,3.4,41.2,20.1,47432893.0,24580.0,5.0,6627937.0,6551.1,2022-05-01,2022-05-31,7.0,35.4,4.0
48,2022-0465-FRA,2022,465,France,FRA,Western Europe,,,42.0,2022,5.0,30.0,2022,9.0,4.0,4807.0,20000.0,20000.0,,,100.0,,,,,2022-05-30,2022-09-04,97.0,21.0,3.8,32.8,21.0,67871925.0,33180.0,2.0,11877137.0,6805.4,2022-05-01,2022-05-31,0.0,28.2,4.0
50,2022-0465-PRT,2022,465,Portugal,PRT,Southern Europe,,,47.0,2022,5.0,30.0,2022,9.0,4.0,2212.0,,,,,100.0,,,,,2022-05-30,2022-09-04,97.0,20.1,3.9,49.9,23.7,10352042.0,19290.0,2.7,1324883.0,1224.5,2022-05-01,2022-05-31,1.0,31.6,4.0
